file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ext6_wrap\impl\Ext6Impl4.java,org.apache.dubbo.common.extension.ext6_wrap.impl.Ext6Impl4,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-remoting\dubbo-remoting-netty4\src\main\java\org\apache\dubbo\remoting\transport\netty4\logging\MessageFormatter.java,org.apache.dubbo.remoting.transport.netty4.logging.MessageFormatter,class,11,12,1,11,62,1,0,40,151,0.9444445,0.06666667,0.06666667,18,17,0,12,0,6,6,0,0,0,5,5,0,2,0,3,5,0,18,241,15,10,17,1,0,16,34,33,20,30,4,0,0,0,206,16,1
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ext6_wrap\impl\Ext6Impl3.java,org.apache.dubbo.common.extension.ext6_wrap.impl.Ext6Impl3,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\model\person\Bgeneric.java,org.apache.dubbo.common.model.person.Bgeneric,class,1,3,2,1,3,1,0,0,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,1,1,2,0,0,0,0,0,14,2,0,0,0,0,1,0,3,0,3,0,0,0,0,12,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\context\annotation\consumer\test\TestConsumerConfiguration.java,org.apache.dubbo.config.spring.context.annotation.consumer.test.TestConsumerConfiguration$Parent,innerclass,3,3,0,3,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,9,1033,0
C:\Work\Java\Bhavani\dubbo\dubbo-metrics\dubbo-metrics-api\src\main\java\org\apache\dubbo\metrics\listener\AbstractMetricsListener.java,org.apache.dubbo.metrics.listener.AbstractMetricsListener,class,4,9,5,4,2,1,0,4,1,0.5,0.0,0.0,2,0,2,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,0,2,0,3,0,0,0,1,22,1025,0
C:\Work\Java\Bhavani\dubbo\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\support\RuntimeExceptionInvoker.java,org.apache.dubbo.rpc.support.RuntimeExceptionInvoker,class,4,4,0,4,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-metrics\dubbo-metrics-config-center\src\main\java\org\apache\dubbo\metrics\config\ConfigCenterMetricsConstants.java,org.apache.dubbo.metrics.config.ConfigCenterMetricsConstants,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,22,1,0
C:\Work\Java\Bhavani\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\router\mesh\util\MeshRuleDispatcher.java,org.apache.dubbo.rpc.cluster.router.mesh.util.MeshRuleDispatcher,class,4,9,5,4,19,1,0,21,0,0.5555555,0.73333335,1.0,6,0,6,0,0,0,6,0,0,3,3,1,0,3,0,0,3,0,0,62,4,6,2,0,0,3,0,6,1,7,4,0,0,1,36,1,1
C:\Work\Java\Bhavani\dubbo\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\proxy\MethodInvoker.java,org.apache.dubbo.rpc.proxy.MethodInvoker$OverloadMethodInvoker$MethodMeta,innerclass,0,0,0,0,3,1,0,1,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,10,0
